timestamp,node_id,tilt,vibration,displacement,crack,battery,source_type
2026-09-09T10:01:30+05:30,N01,2.73,0.36,4.25,1.38,95.4,simulated
2026-09-09T10:01:30+05:30,N02,5.20,0.72,8.35,2.82,94.4,simulated
2026-09-09T10:01:30+05:30,N03,4.67,0.65,7.67,2.52,93.3,simulated
2026-09-09T10:01:36+05:30,N01,2.86,0.38,4.46,1.45,95.4,simulated
2026-09-09T10:01:36+05:30,N02,5.45,0.76,8.83,2.98,94.3,simulated
2026-09-09T10:01:36+05:30,N03,4.89,0.69,8.11,2.67,93.3,simulated
2026-09-09T10:01:42+05:30,N01,2.84,0.39,4.44,1.43,95.3,simulated
2026-09-09T10:01:42+05:30,N02,5.40,0.76,8.82,2.96,94.3,simulated
2026-09-09T10:01:42+05:30,N03,4.85,0.68,8.10,2.66,93.3,simulated
2026-09-09T10:01:48+05:30,N01,2.61,0.36,4.12,1.30,95.3,simulated
2026-09-09T10:01:48+05:30,N02,4.92,0.70,8.10,2.69,94.2,simulated
2026-09-09T10:01:48+05:30,N03,4.44,0.62,7.44,2.43,93.2,simulated
2026-09-09T10:01:54+05:30,N01,2.38,0.34,3.81,1.17,95.2,simulated
2026-09-09T10:01:54+05:30,N02,4.45,0.63,7.38,2.42,94.2,simulated
2026-09-09T10:01:54+05:30,N03,4.04,0.56,6.78,2.19,93.2,simulated
2026-09-09T10:02:00+05:30,N02,4.95,0.66,7.80,2.60,92,seed
2026-09-09T10:02:02+05:30,N03,5.40,0.74,8.70,3.10,92,seed
